Unnamed: 0	Pheno	UKB ID	IDP short name	Units	Type	Cat.	Category name	IDP description	N(disc)	Npar(disc)	Nnonpar(disc)	N(rep)	Npar(rep)	Nnonpar(rep)	N(fullscan)	Npar(fullscan)	Nnonpar(fullscan)	Heritability	Heritability(SE)
294	295.0	26672	ThalamNuclei lh volume PuA	mm3	float	1.0	regional and tissue volume	Volume of PuA in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.199	0.0195
295	296.0	26673	ThalamNuclei lh volume MDm	mm3	float	1.0	regional and tissue volume	Volume of MDm in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2061	0.02
296	297.0	26674	ThalamNuclei lh volume Pf	mm3	float	1.0	regional and tissue volume	Volume of Pf in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2282	0.0217
297	298.0	26675	ThalamNuclei lh volume VAmc	mm3	float	1.0	regional and tissue volume	Volume of VAmc in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2502	0.0234
298	299.0	26676	ThalamNuclei lh volume MDl	mm3	float	1.0	regional and tissue volume	Volume of MDl in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2128	0.0202
299	300.0	26677	ThalamNuclei lh volume CeM	mm3	float	1.0	regional and tissue volume	Volume of CeM in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2515	0.0209
300	301.0	26678	ThalamNuclei lh volume VA	mm3	float	1.0	regional and tissue volume	Volume of VA in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2884	0.0217
301	302.0	26679	ThalamNuclei lh volume MV(Re)	mm3	float	1.0	regional and tissue volume	Volume of MV(Re) in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.217	0.0195
302	303.0	26680	ThalamNuclei lh volume VM	mm3	float	1.0	regional and tissue volume	Volume of VM in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2278	0.0203
303	304.0	26681	ThalamNuclei lh volume CL	mm3	float	1.0	regional and tissue volume	Volume of CL in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.221	0.0192
304	305.0	26682	ThalamNuclei lh volume PuL	mm3	float	1.0	regional and tissue volume	Volume of PuL in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2217	0.0193
305	306.0	26683	ThalamNuclei lh volume Pt	mm3	float	1.0	regional and tissue volume	Volume of Pt in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.194	0.0179
306	307.0	26684	ThalamNuclei lh volume AV	mm3	float	1.0	regional and tissue volume	Volume of AV in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2117	0.0182
307	308.0	26685	ThalamNuclei lh volume Pc	mm3	float	1.0	regional and tissue volume	Volume of Pc in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2199	0.0243
308	309.0	26686	ThalamNuclei lh volume VLp	mm3	float	1.0	regional and tissue volume	Volume of VLp in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.3294	0.0248
309	310.0	26687	ThalamNuclei lh volume LP	mm3	float	1.0	regional and tissue volume	Volume of LP in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2727	0.0197
310	311.0	26688	ThalamNuclei rh volume LGN	mm3	float	1.0	regional and tissue volume	Volume of LGN in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1845	0.0181
311	312.0	26689	ThalamNuclei rh volume MGN	mm3	float	1.0	regional and tissue volume	Volume of MGN in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.191	0.0183
312	313.0	26690	ThalamNuclei rh volume PuI	mm3	float	1.0	regional and tissue volume	Volume of PuI in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2479	0.0204
313	314.0	26691	ThalamNuclei rh volume PuM	mm3	float	1.0	regional and tissue volume	Volume of PuM in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2693	0.0211
314	315.0	26692	ThalamNuclei rh volume L-Sg	mm3	float	1.0	regional and tissue volume	Volume of L-Sg in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1621	0.0202
315	316.0	26693	ThalamNuclei rh volume VPL	mm3	float	1.0	regional and tissue volume	Volume of VPL in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2674	0.0214
316	317.0	26694	ThalamNuclei rh volume CM	mm3	float	1.0	regional and tissue volume	Volume of CM in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2748	0.0239
317	318.0	26695	ThalamNuclei rh volume VLa	mm3	float	1.0	regional and tissue volume	Volume of VLa in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.3449	0.0252
318	319.0	26696	ThalamNuclei rh volume PuA	mm3	float	1.0	regional and tissue volume	Volume of PuA in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2216	0.0194
319	320.0	26697	ThalamNuclei rh volume MDm	mm3	float	1.0	regional and tissue volume	Volume of MDm in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2153	0.0206
320	321.0	26698	ThalamNuclei rh volume Pf	mm3	float	1.0	regional and tissue volume	Volume of Pf in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2246	0.0232
321	322.0	26699	ThalamNuclei rh volume VAmc	mm3	float	1.0	regional and tissue volume	Volume of VAmc in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2608	0.0228
322	323.0	26700	ThalamNuclei rh volume MDl	mm3	float	1.0	regional and tissue volume	Volume of MDl in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2072	0.0204
323	324.0	26701	ThalamNuclei rh volume VA	mm3	float	1.0	regional and tissue volume	Volume of VA in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2988	0.0231
324	325.0	26702	ThalamNuclei rh volume MV(Re)	mm3	float	1.0	regional and tissue volume	Volume of MV(Re) in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1909	0.0198
325	326.0	26703	ThalamNuclei rh volume CeM	mm3	float	1.0	regional and tissue volume	Volume of CeM in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2379	0.021
326	327.0	26704	ThalamNuclei rh volume VM	mm3	float	1.0	regional and tissue volume	Volume of VM in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.269	0.0235
327	328.0	26705	ThalamNuclei rh volume PuL	mm3	float	1.0	regional and tissue volume	Volume of PuL in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2297	0.0207
328	329.0	26706	ThalamNuclei rh volume CL	mm3	float	1.0	regional and tissue volume	Volume of CL in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2011	0.0173
329	330.0	26707	ThalamNuclei rh volume VLp	mm3	float	1.0	regional and tissue volume	Volume of VLp in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.3345	0.0245
330	331.0	26708	ThalamNuclei rh volume Pc	mm3	float	1.0	regional and tissue volume	Volume of Pc in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2127	0.0206
331	332.0	26709	ThalamNuclei rh volume Pt	mm3	float	1.0	regional and tissue volume	Volume of Pt in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2155	0.0192
332	333.0	26710	ThalamNuclei rh volume AV	mm3	float	1.0	regional and tissue volume	Volume of AV in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1904	0.0183
333	334.0	26711	ThalamNuclei rh volume LP	mm3	float	1.0	regional and tissue volume	Volume of LP in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2826	0.0214
334	335.0	26712	ThalamNuclei lh volume LD	mm3	float	1.0	regional and tissue volume	Volume of LD in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2471	0.0207
335	336.0	26713	ThalamNuclei rh volume LD	mm3	float	1.0	regional and tissue volume	Volume of LD in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2501	0.0186
336	337.0	26714	ThalamNuclei lh volume Whole-thalamus	mm3	float	1.0	regional and tissue volume	Volume of Whole-thalamus in the left hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2937	0.0229
337	338.0	26715	ThalamNuclei rh volume Whole-thalamus	mm3	float	1.0	regional and tissue volume	Volume of Whole-thalamus in the right hemisphere generated by subcortical volumetric sub-segmentation of the Thalamic Nuclei	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.3244	0.0229
338	339.0	26716	Brainstem global volume Medulla	mm3	float	1.0	regional and tissue volume	Volume of Medulla in the whole brain generated by subcortical volumetric sub-segmentation of the Brainstem	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.4025	0.0297
339	340.0	26717	Brainstem global volume Pons	mm3	float	1.0	regional and tissue volume	Volume of Pons in the whole brain generated by subcortical volumetric sub-segmentation of the Brainstem	21282.0	21262.0	21270.0	10686.0	10681	10684	31968.0	31943.0	31954.0	0.4035	0.0318
340	341.0	26718	Brainstem global volume SCP	mm3	float	1.0	regional and tissue volume	Volume of SCP in the whole brain generated by subcortical volumetric sub-segmentation of the Brainstem	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2477	0.0208
341	342.0	26719	Brainstem global volume Midbrain	mm3	float	1.0	regional and tissue volume	Volume of Midbrain in the whole brain generated by subcortical volumetric sub-segmentation of the Brainstem	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.3693	0.0294
342	343.0	26720	Brainstem global volume Whole-brainstem	mm3	float	1.0	regional and tissue volume	Volume of Whole-brainstem in the whole brain generated by subcortical volumetric sub-segmentation of the Brainstem	21282.0	21262.0	21270.0	10686.0	10681	10684	31968.0	31943.0	31954.0	0.405	0.0311
343	344.0	26789	aparc-Desikan lh volume bankssts	mm3	float	1.0	regional and tissue volume	Volume of bankssts in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1485	0.0169
344	345.0	26790	aparc-Desikan lh volume caudalanteriorcingulate	mm3	float	1.0	regional and tissue volume	Volume of caudalanteriorcingulate in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10685.0	-	-	31967.0	31942.0	31953.0	0.0885	0.0148
345	346.0	26791	aparc-Desikan lh volume caudalmiddlefrontal	mm3	float	1.0	regional and tissue volume	Volume of caudalmiddlefrontal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1465	0.0211
346	347.0	26792	aparc-Desikan lh volume cuneus	mm3	float	1.0	regional and tissue volume	Volume of cuneus in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	10681	10684	31968.0	31943.0	31954.0	0.2624	0.0244
347	348.0	26793	aparc-Desikan lh volume entorhinal	mm3	float	1.0	regional and tissue volume	Volume of entorhinal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21281.0	21261.0	21269.0	10686.0	-	-	31967.0	31942.0	31953.0	0.1206	0.0163
348	349.0	26794	aparc-Desikan lh volume fusiform	mm3	float	1.0	regional and tissue volume	Volume of fusiform in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1641	0.0183
349	350.0	26795	aparc-Desikan lh volume inferiorparietal	mm3	float	1.0	regional and tissue volume	Volume of inferiorparietal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1899	0.0192
350	351.0	26796	aparc-Desikan lh volume inferiortemporal	mm3	float	1.0	regional and tissue volume	Volume of inferiortemporal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1739	0.0179
351	352.0	26797	aparc-Desikan lh volume isthmuscingulate	mm3	float	1.0	regional and tissue volume	Volume of isthmuscingulate in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21281.0	21261.0	21269.0	10686.0	-	-	31967.0	31942.0	31953.0	0.1681	0.0192
352	353.0	26798	aparc-Desikan lh volume lateraloccipital	mm3	float	1.0	regional and tissue volume	Volume of lateraloccipital in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	10681	10684	31968.0	31943.0	31954.0	0.1888	0.0189
353	354.0	26799	aparc-Desikan lh volume lateralorbitofrontal	mm3	float	1.0	regional and tissue volume	Volume of lateralorbitofrontal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10685.0	-	-	31967.0	31942.0	31953.0	0.2566	0.0232
354	355.0	26800	aparc-Desikan lh volume lingual	mm3	float	1.0	regional and tissue volume	Volume of lingual in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2238	0.0225
355	356.0	26801	aparc-Desikan lh volume medialorbitofrontal	mm3	float	1.0	regional and tissue volume	Volume of medialorbitofrontal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1239	0.0196
356	357.0	26802	aparc-Desikan lh volume middletemporal	mm3	float	1.0	regional and tissue volume	Volume of middletemporal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1978	0.0198
357	358.0	26803	aparc-Desikan lh volume parahippocampal	mm3	float	1.0	regional and tissue volume	Volume of parahippocampal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2068	0.0194
358	359.0	26804	aparc-Desikan lh volume paracentral	mm3	float	1.0	regional and tissue volume	Volume of paracentral in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1602	0.0194
359	360.0	26805	aparc-Desikan lh volume parsopercularis	mm3	float	1.0	regional and tissue volume	Volume of parsopercularis in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1203	0.0164
360	361.0	26806	aparc-Desikan lh volume parsorbitalis	mm3	float	1.0	regional and tissue volume	Volume of parsorbitalis in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10685.0	-	-	31967.0	31942.0	31953.0	0.1508	0.0174
361	362.0	26807	aparc-Desikan lh volume parstriangularis	mm3	float	1.0	regional and tissue volume	Volume of parstriangularis in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1249	0.0182
362	363.0	26808	aparc-Desikan lh volume pericalcarine	mm3	float	1.0	regional and tissue volume	Volume of pericalcarine in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2871	0.0275
363	364.0	26809	aparc-Desikan lh volume postcentral	mm3	float	1.0	regional and tissue volume	Volume of postcentral in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1549	0.0198
364	365.0	26810	aparc-Desikan lh volume posteriorcingulate	mm3	float	1.0	regional and tissue volume	Volume of posteriorcingulate in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21281.0	21261.0	21269.0	10686.0	-	-	31967.0	31942.0	31953.0	0.1221	0.0216
365	366.0	26811	aparc-Desikan lh volume precentral	mm3	float	1.0	regional and tissue volume	Volume of precentral in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1871	0.0203
366	367.0	26812	aparc-Desikan lh volume precuneus	mm3	float	1.0	regional and tissue volume	Volume of precuneus in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2328	0.0221
367	368.0	26813	aparc-Desikan lh volume rostralanteriorcingulate	mm3	float	1.0	regional and tissue volume	Volume of rostralanteriorcingulate in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10685.0	-	-	31967.0	31942.0	31953.0	0.1748	0.0173
368	369.0	26814	aparc-Desikan lh volume rostralmiddlefrontal	mm3	float	1.0	regional and tissue volume	Volume of rostralmiddlefrontal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.201	0.0169
369	370.0	26815	aparc-Desikan lh volume superiorfrontal	mm3	float	1.0	regional and tissue volume	Volume of superiorfrontal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.212	0.0219
370	371.0	26816	aparc-Desikan lh volume superiorparietal	mm3	float	1.0	regional and tissue volume	Volume of superiorparietal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.187	0.0196
371	372.0	26817	aparc-Desikan lh volume superiortemporal	mm3	float	1.0	regional and tissue volume	Volume of superiortemporal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2228	0.0231
372	373.0	26818	aparc-Desikan lh volume supramarginal	mm3	float	1.0	regional and tissue volume	Volume of supramarginal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	10681	10684	31968.0	31943.0	31954.0	0.1696	0.0188
373	374.0	26819	aparc-Desikan lh volume frontalpole	mm3	float	1.0	regional and tissue volume	Volume of frontalpole in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10685.0	-	-	31967.0	31942.0	31953.0	0.0741	0.0168
374	375.0	26820	aparc-Desikan lh volume transversetemporal	mm3	float	1.0	regional and tissue volume	Volume of transversetemporal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1654	0.0183
375	376.0	26821	aparc-Desikan lh volume insula	mm3	float	1.0	regional and tissue volume	Volume of insula in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.237	0.0213
376	377.0	26890	aparc-Desikan rh volume bankssts	mm3	float	1.0	regional and tissue volume	Volume of bankssts in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.145	0.019
377	378.0	26891	aparc-Desikan rh volume caudalanteriorcingulate	mm3	float	1.0	regional and tissue volume	Volume of caudalanteriorcingulate in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10684.0	-	-	31966.0	31941.0	31952.0	0.081	0.0153
378	379.0	26892	aparc-Desikan rh volume caudalmiddlefrontal	mm3	float	1.0	regional and tissue volume	Volume of caudalmiddlefrontal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1874	0.0196
379	380.0	26893	aparc-Desikan rh volume cuneus	mm3	float	1.0	regional and tissue volume	Volume of cuneus in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2668	0.0243
380	381.0	26894	aparc-Desikan rh volume entorhinal	mm3	float	1.0	regional and tissue volume	Volume of entorhinal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1261	0.0171
381	382.0	26895	aparc-Desikan rh volume fusiform	mm3	float	1.0	regional and tissue volume	Volume of fusiform in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1907	0.0178
382	383.0	26896	aparc-Desikan rh volume inferiorparietal	mm3	float	1.0	regional and tissue volume	Volume of inferiorparietal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1593	0.0186
383	384.0	26897	aparc-Desikan rh volume inferiortemporal	mm3	float	1.0	regional and tissue volume	Volume of inferiortemporal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1865	0.0178
384	385.0	26898	aparc-Desikan rh volume isthmuscingulate	mm3	float	1.0	regional and tissue volume	Volume of isthmuscingulate in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1258	0.0188
385	386.0	26899	aparc-Desikan rh volume lateraloccipital	mm3	float	1.0	regional and tissue volume	Volume of lateraloccipital in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2028	0.0211
386	387.0	26900	aparc-Desikan rh volume lateralorbitofrontal	mm3	float	1.0	regional and tissue volume	Volume of lateralorbitofrontal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2058	0.0194
387	388.0	26901	aparc-Desikan rh volume lingual	mm3	float	1.0	regional and tissue volume	Volume of lingual in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2243	0.024
388	389.0	26902	aparc-Desikan rh volume medialorbitofrontal	mm3	float	1.0	regional and tissue volume	Volume of medialorbitofrontal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1594	0.0173
389	390.0	26903	aparc-Desikan rh volume middletemporal	mm3	float	1.0	regional and tissue volume	Volume of middletemporal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.2027	0.0209
390	391.0	26904	aparc-Desikan rh volume parahippocampal	mm3	float	1.0	regional and tissue volume	Volume of parahippocampal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.192	0.0186
391	392.0	26905	aparc-Desikan rh volume paracentral	mm3	float	1.0	regional and tissue volume	Volume of paracentral in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation	21282.0	21262.0	21270.0	10686.0	-	-	31968.0	31943.0	31954.0	0.1287	0.0172
